y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	F_statistic	p-value	coefficient	covariants	memo	FDR
birth_days_to	Q	BK	1	3835367.68746185	745	12803957394.5869	0.223161389803364	0.636779931104416	1964.92666666666	Disease	NA	0.916668062132453
birth_days_to	Q	EBV	1	6450111.32997513	745	12801342650.9444	0.375377260952933	0.54027465879212	487.803839311673	Disease	NA	0.916668062132453
birth_days_to	Q	HAC	0	0	746	12807792762.2744	NA	NA	NA	Disease	NA	NA
birth_days_to	Q	HBV	0	0	746	12807792762.2744	NA	NA	NA	Disease	NA	NA
birth_days_to	Q	HHV5	1	9876090.97335052	745	12797916671.301	0.574912930293221	0.448553012236459	-1415.74501133888	Disease	NA	0.861659296854117
birth_days_to	Q	HPV16	1	148930216.802406	745	12658862545.472	8.76484843083158	0.00316842659276152	2084.05401139427	Disease	NA	0.0561264139289184
birth_days_to	Q	HPV18	0	0	746	12807792762.2744	NA	NA	NA	Disease	NA	NA
birth_days_to	Q	HPV33	1	9541.28527259827	745	12807783220.9891	0.000554995146735218	0.981211215143725	-40.2729789590295	Disease	NA	0.981211215143725
birth_days_to	Q	HPV45	1	10224129.7207947	745	12797568632.5536	0.595189356720189	0.440664038359131	3208.15999999997	Disease	NA	0.861659296854117
birth_days_to	Q	Other.HPV	1	43656615.9478512	745	12764136146.3265	2.54809087808966	0.110851686889064	3320.09941393062	Disease	NA	0.473233097476361
birth_days_to	Q	Any.HPV	1	178294201.671177	745	12629498560.6032	10.5173756192805	0.00123527104197099	2036.22913763367	Disease	NA	0.0547262454899861
birth_days_to	Q	Any.HHV	1	1218675.19467926	745	12806574087.0797	0.0708942933420441	0.790112785490099	195.086052728656	Disease	NA	0.969455055453171
birth_days_to	Q	AnyVirus	1	122333048.906534	745	12685459713.3678	7.18445554947664	0.00751631497652495	1266.93711227602	Disease	NA	0.0874857529334393
birth_days_to	Q	BK.low	1	557786.30566597	745	12807234975.9687	0.032446566218304	0.857100041597701	529.412601890391	Disease	NA	0.980093968538557
birth_days_to	Q	EBV.low	1	29116791.3003407	745	12778675970.974	1.69751620340212	0.193015684365427	-426.584449363117	Disease	NA	0.629051162926895
birth_days_to	Q	HAC.low	1	408048.207624435	745	12807384714.0668	0.0237359868128515	0.877600304534212	103.349886388781	Disease	NA	0.980093968538557
birth_days_to	Q	HBV.low	1	21464114.595417	745	12786328647.679	1.2506142939231	0.263795648969343	1568.76241134753	Disease	NA	0.629051162926895
birth_days_to	Q	HHV5.low	1	42783245.0013657	745	12765009517.273	2.49694428217133	0.1144918784217	-1149.33111807932	Disease	NA	0.473233097476361
birth_days_to	Q	HPV16.low	1	4436177.6595211	745	12803356584.6149	0.258131712141378	0.611557001343784	311.244646171425	Disease	NA	0.916668062132453
birth_days_to	Q	HPV18.low	1	15845160.5743999	745	12791947601.7	0.922818400722591	0.337047705940701	-963.963390598129	Disease	NA	0.746319920297266
birth_days_to	Q	HPV33.low	1	25900333.3875999	745	12781892428.8868	1.50961592589795	0.219585672533163	-1201.50910649536	Disease	NA	0.629051162926895
birth_days_to	Q	HPV45.low	0	0	746	12807792762.2744	NA	NA	NA	Disease	NA	NA
birth_days_to	Q	Other.HPV.low	1	21471129.4285793	745	12786321632.8458	1.25102370201612	0.263717562621645	895.609139656145	Disease	NA	0.629051162926895
